Timestamp,X,Y
0.0000,200,-376
0.0625,200,-376
0.1250,-295,-337
0.1875,-295,-337
0.2500,-295,-337
0.3125,-295,-337
0.3750,-490,8
0.4375,-490,8
0.5000,-490,8
0.5625,-490,8
0.6250,-560,372
0.6875,-560,372
0.7500,-560,372
0.8125,-560,372
0.8750,-560,372
0.9375,-601,406
1.0000,-601,406
1.0625,-601,406
1.1250,-601,406
1.1875,-600,77
1.2500,-600,77
1.3125,-600,77
1.3750,-600,77
1.4375,-624,-110
1.5000,-624,-110
1.5625,-624,-110
1.6250,-624,-110
1.6875,-639,-337
1.7500,-639,-337
1.8125,-639,-337
1.8750,-639,-337
1.9375,-639,-337
2.0000,-658,-441
2.0625,-658,-441
2.1250,-658,-441
2.1875,-658,-441
2.2500,-710,-378
2.3125,-710,-378
2.3750,-710,-378
2.4375,-710,-378
2.5000,-696,-108
2.5625,-696,-108
2.6250,-696,-108
2.6875,-696,-108
2.7500,-696,-108
2.8125,-683,227
2.8750,-683,227
2.9375,-683,227
3.0000,-683,227
3.0625,-699,378
3.1250,-699,378
3.1875,-699,378
3.2500,-699,378
3.3125,-690,-58
3.3750,-690,-58
3.4375,-690,-58
3.5000,-690,-58
3.5625,-690,-306
3.6250,-690,-306
3.6875,-690,-306
3.7500,-690,-306
3.8125,-690,-306
3.8750,-690,-419
3.9375,-690,-419
4.0000,-690,-419
4.0625,-690,-419
4.1250,-398,-414
4.1875,-398,-414
4.2500,-398,-414
4.3125,-398,-414
4.3750,-44,-407
4.4375,-44,-407
4.5000,-44,-407
4.5625,-44,-407
4.6250,228,-405
4.6875,228,-405
4.7500,228,-405
4.8125,228,-405
4.8750,228,-405
4.9375,-82,-352
5.0000,-82,-352
5.0625,-82,-352
5.1250,-82,-352
5.1875,-102,-178
5.2500,-102,-178
5.3125,-102,-178
5.3750,-102,-178
5.4375,-144,0
5.5000,-144,0
5.5625,-144,0
5.6250,-144,0
5.6875,-290,152
5.7500,-290,152
5.8125,-290,152
5.8750,-290,152
5.9375,-290,152
6.0000,-507,149
6.0625,-507,149
6.1250,-507,149
6.1875,-507,149
6.2500,-506,-68
6.3125,-506,-68
6.3750,-506,-68
6.4375,-506,-68
6.5000,-198,-166
6.5625,-198,-166
6.6250,-198,-166
6.6875,-198,-166
6.7500,-198,-166
6.8125,-23,84
6.8750,-23,84
6.9375,-23,84
7.0000,-23,84
7.0625,274,220
7.1250,274,220
7.1875,274,220
7.2500,274,220
7.3125,223,15
7.3750,223,15
7.4375,223,15
7.5000,223,15
7.5625,-154,64
7.6250,-154,64
7.6875,-154,64
7.7500,-154,64
7.8125,-154,64
7.8750,-400,128
7.9375,-400,128
8.0000,-400,128
8.0625,-400,128
8.1250,-379,263
8.1875,-379,263
8.2500,-379,263
8.3125,-379,263
8.3750,-12,276
8.4375,-12,276
8.5000,-12,276
8.5625,-12,276
8.6250,43,179
8.6875,43,179
8.7500,43,179
8.8125,43,179
8.8750,43,179
8.9375,72,-254
9.0000,72,-254
9.0625,72,-254
9.1250,72,-254
9.1875,315,-327
9.2500,315,-327
9.3125,315,-327
9.3750,315,-327
9.4375,12,-378
9.5000,12,-378
9.5625,12,-378
9.6250,12,-378
9.6875,-536,-400
9.7500,-536,-400
9.8125,-536,-400
9.8750,-536,-400
9.9375,-536,-400
10.0000,-504,-402
10.0625,-504,-402
10.1250,-504,-402
10.1875,-504,-402
10.2500,162,-412
10.3125,162,-412
10.3750,162,-412
10.4375,162,-412
10.5000,-62,-430
10.5625,-62,-430
10.6250,-62,-430
10.6875,-62,-430
10.7500,-62,-430
10.8125,-560,-422
10.8750,-560,-422
10.9375,-560,-422
11.0000,-560,-422
11.0625,-58,-444
11.1250,-58,-444
11.1875,-58,-444
11.2500,-58,-444
11.3125,-765,-415
11.3750,-765,-415
11.4375,-765,-415
11.5000,-765,-415
11.5625,-731,-282
11.6250,-731,-282
11.6875,-731,-282
11.7500,-731,-282
11.8125,-731,-282
11.8750,-704,168
11.9375,-704,168
12.0000,-704,168
12.0625,-704,168
12.1250,-683,333
12.1875,-683,333
12.2500,-683,333
12.3125,-683,333
12.3750,-256,382
12.4375,-256,382
12.5000,-256,382
12.5625,-256,382
12.6250,158,406
12.6875,158,406
12.7500,158,406
12.8125,158,406
12.8750,158,406
12.9375,346,244
13.0000,346,244
13.0625,346,244
13.1250,346,244
13.1875,364,-376
13.2500,364,-376
13.3125,364,-376
13.3750,364,-376
13.4375,94,-470
13.5000,94,-470
13.5625,94,-470
13.6250,94,-470
13.6875,-393,-486
13.7500,-393,-486
13.8125,-393,-486
13.8750,-393,-486
13.9375,-393,-486
14.0000,-576,-439
14.0625,-576,-439
14.1250,-576,-439
14.1875,-576,-439
14.2500,-584,-126
14.3125,-584,-126
14.3750,-584,-126
14.4375,-584,-126
14.5000,-556,-60
14.5625,-556,-60
14.6250,-556,-60
14.6875,-556,-60
14.7500,72,-76
14.8125,72,-76
14.8750,72,-76
14.9375,72,-76
15.0000,72,-76
15.0625,239,-208
15.1250,239,-208
15.1875,239,-208
15.2500,239,-208
15.3125,250,-467
15.3750,250,-467
15.4375,250,-467
15.5000,250,-467
15.5625,-146,-468
15.6250,-146,-468
15.6875,-146,-468
15.7500,-146,-468
15.8125,-352,-465
15.8750,-352,-465
15.9375,-352,-465
16.0000,-352,-465
16.0625,-352,-465
16.1250,-378,-462
16.1875,-378,-462
16.2500,-378,-462
16.3125,-378,-462
16.3750,-378,-462
16.4375,-378,-462
16.5000,-378,-462
16.5625,-378,-462
16.6250,-598,-454
16.6875,-598,-454
16.7500,-598,-454
16.8125,-598,-454
16.8750,-598,-454
16.9375,-637,-303
17.0000,-637,-303
17.0625,-637,-303
17.1250,-637,-303
17.1875,-630,-135
17.2500,-630,-135
17.3125,-630,-135
17.3750,-630,-135
17.4375,-677,-266
17.5000,-677,-266
17.5625,-677,-266
17.6250,-677,-266
17.6875,-687,-362
17.7500,-687,-362
17.8125,-687,-362
17.8750,-687,-362
17.9375,-687,-362
18.0000,-419,-398
18.0625,-419,-398
18.1250,-419,-398
18.1875,-419,-398
18.2500,-186,-394
18.3125,-186,-394
18.3750,-186,-394
18.4375,-186,-394
18.5000,-104,-408
18.5625,-104,-408
18.6250,-104,-408
18.6875,-104,-408
18.7500,-474,-414
18.8125,-474,-414
18.8750,-474,-414
18.9375,-474,-414
19.0000,-474,-414
19.0625,-615,-390
19.1250,-615,-390
19.1875,-615,-390
19.2500,-615,-390
19.3125,-583,-330
19.3750,-583,-330
19.4375,-583,-330
19.5000,-583,-330
19.5625,-584,-313
19.6250,-584,-313
19.6875,-584,-313
19.7500,-584,-313
19.8125,-584,-313
19.8750,-627,-241
19.9375,-627,-241
20.0000,-627,-241
20.0625,-627,-241
